EvidenceID,Area,RibbonTab,CommandGroup,ToolOrButton,ToolType,DialogName,Shortcut,TransitionTrigger,StateChange,ObservedBehavior,SourceURL,Confidence,BeamLabMappingTarget,Notes
STAAD-SHELL-025,Shell,Keyboard Layer,Window/View Shortcuts,View Rotate/Spin,Shortcut,,Arrow keys / Ctrl+Arrow keys,User presses arrow key combinations,Camera orientation/spin changes in active view,Arrow controls handle rotate; Ctrl+arrows handle spin behavior,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-8E9DAF27-0814-4E8E-94D2-F1204A222EDD.html,High,apps/web/src/components/ViewportManager.tsx,
STAAD-SHELL-026,Shell,Keyboard Layer,Display Toggle,Node Labels Toggle,Shortcut,,Shift+N,User presses Shift+N,Node label visibility toggles,Label display shortcuts provide fast annotation visibility control,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-8E9DAF27-0814-4E8E-94D2-F1204A222EDD.html,High,apps/web/src/components/ViewportManager.tsx,
STAAD-SHELL-027,Shell,Keyboard Layer,Display Toggle,Beam Labels Toggle,Shortcut,,Shift+B,User presses Shift+B,Beam label visibility toggles,Beam numbers can be shown/hidden quickly via shortcut,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-8E9DAF27-0814-4E8E-94D2-F1204A222EDD.html,High,apps/web/src/components/ViewportManager.tsx,
STAAD-SHELL-028,Shell,Keyboard Layer,Display Mode,Analytical/Wireframe/Filled/Rendered View,Shortcut,,Ctrl+0 / Ctrl+1 / Ctrl+2 / Ctrl+4,User presses display mode shortcut,Active view render mode switches,Shortcut set changes model display representation rapidly,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-8E9DAF27-0814-4E8E-94D2-F1204A222EDD.html,High,apps/web/src/components/ViewportManager.tsx,
STAAD-SHELL-029,Shell,Ribbon Access,Keyboard Navigation,Alt Ribbon Access Keys,Shortcut,,Alt,User presses Alt,Ribbon keytips exposed for tab access,Most ribbon tabs become keyboard accessible via Alt keytips,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-8E9DAF27-0814-4E8E-94D2-F1204A222EDD.html,High,apps/web/src/components/layout/EngineeringRibbon.tsx,
STAAD-SHELL-030,Shell,View Tools Menu,Navigation,Whole Structure,MenuItem,, ,User invokes whole structure in view tools,View fits full structure and resets to orthogonal baseline,Whole Structure re-frames and normalizes orientation,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-BCED57E2-8521-453D-9C14-4139326919A6.html,High,apps/web/src/components/ViewportManager.tsx,
STAAD-SHELL-031,Shell,View Tools Menu,Navigation,Pan,MenuItem,,,User invokes Pan or uses middle mouse hold,Viewport pans without magnification change,Pan allows moving view window over model extents,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-BCED57E2-8521-453D-9C14-4139326919A6.html,High,apps/web/src/components/ViewportManager.tsx,
STAAD-SHELL-032,Shell,View Tools Menu,Navigation,Always Fit in Current Window,Toggle,,,User toggles Always Fit,Model redraw scaling behavior changes with window size,Controls whether selected entities auto-fit changing drawing bounds,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-BCED57E2-8521-453D-9C14-4139326919A6.html,High,apps/web/src/components/ViewportManager.tsx,
STAAD-SHELL-033,Shell,Right-Click Menu,View,3D Rendering,MenuItem,,,User selects 3D Rendering from context menu,Separate rendered window opens with enhanced visual controls,Rendering is presentation-oriented and requires property/material assignment,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-CCBC920C-CB07-464B-8D59-DB3C4B6AE787.html,High,apps/web/src/components/ViewportManager.tsx,
STAAD-SHELL-034,Shell,Quick Commands Popup,Customization,Customize Quick Commands,Dialog,Customize Quick Commands Popup dialog,,User clicks customize icon in popup,Popup command set can be modified,Quick Commands menu supports user-curated tool sets,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-CCD59678-10A6-4CEF-9161-2AFE6C75E743.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,
STAAD-SHELL-035,Shell,Legacy Migration,Mode Replacement,Modes/Page Controls replaced by Workflows,Behavior,,,User compares legacy UI expectations,Legacy mode/page grouping replaced by workflows panel + row pages,Workflows panel supersedes prior generation mode strip and side page controls,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-0E9A64F6-3D80-434E-8A0F-0938278474CF.html,High,apps/web/src/components/layout/EngineeringRibbon.tsx,Important for migration heuristics
STAAD-P3-001,Modeling,View,Labels,Labels Settings,Button,Diagrams dialog,,User opens Labels Settings,Labels tab dialog appears,View label controls are centralized in diagrams labels tab,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_VIEW_RIBBON_TAB.html,High,apps/web/src/components/ViewportManager.tsx,
STAAD-P3-002,Modeling,View,Labels,Node Labels,Dropdown,,Shift+N,User toggles node labels,Node label display toggles,Shortcut and dropdown both control node label visibility,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_VIEW_RIBBON_TAB.html,High,apps/web/src/components/ViewportManager.tsx,
STAAD-P3-003,Modeling,View,Navigation,Zoom Window,Button,,,User draws zoom window,Current view re-framed to drawn bounds,Zoom window performs local magnification focus,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_VIEW_RIBBON_TAB.html,High,apps/web/src/components/ViewportManager.tsx,
STAAD-P3-004,Modeling,View,Navigation,Whole Structure,Button,,,User selects whole structure,Model fits full extent and resets orientation,Whole structure is a reset framing command,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_VIEW_RIBBON_TAB.html,High,apps/web/src/components/ViewportManager.tsx,
STAAD-P3-005,Modeling,View,Navigation,Orientation,Button,Orientation dialog,F4,User invokes orientation,Orientation dialog opens,Precise orientation setup is dialog-driven,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_VIEW_RIBBON_TAB.html,High,apps/web/src/components/ViewportManager.tsx,
STAAD-P3-006,Modeling,View,Window Management,New View,Button,New View dialog,,User creates new view,Child or replacement view window created,New view supports multi-window inspection workflows,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_VIEW_RIBBON_TAB.html,High,apps/web/src/components/ViewportManager.tsx,
STAAD-P3-007,Modeling,View,Display,Display Options,Button,Options dialog,,User opens display options,Display unit and graphic options panel opens,View display options affect shown values and presentation units,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_VIEW_RIBBON_TAB.html,High,apps/web/src/components/ViewportManager.tsx,
STAAD-P3-008,Modeling,View,Display,Set Structure Colors,Button,Color Manager dialog,,User opens color manager,Color setup dialog opens,Entity and result color schemes are configurable,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_VIEW_RIBBON_TAB.html,High,apps/web/src/components/ViewportManager.tsx,
STAAD-P3-009,Modeling,Select,Cursor Modes,Geometry Cursor,Button,,,User activates geometry cursor,Mixed entity selection mode enabled,Geometry cursor selects multiple object classes in one mode,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-B15B93E3-672A-4171-86FB-5497C5D048C6.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-P3-010,Modeling,Select,Cursor Modes,Members Cursor,Button,,,User activates members cursor,Physical member linked segments selected together,Member cursor maps to design-member grouping behavior,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-B15B93E3-672A-4171-86FB-5497C5D048C6.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-P3-011,Modeling,Select,Selection Sets,All Geometry,Button,,,User selects all geometry,All nodes beams plates and solids selected,Global all command provides fast full-model selection,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-B15B93E3-672A-4171-86FB-5497C5D048C6.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-P3-012,Modeling,Select,Selection Sets,Inverse Geometry,Button,,,User runs inverse selection,Selection set is inverted,Inverse supports exclusion-first workflows,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-B15B93E3-672A-4171-86FB-5497C5D048C6.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-P3-013,Modeling,Select,Relational Select,Connected Geometry,MenuItem,,,User chooses connected selector,Entities linked to chosen object are selected,Connectivity-based selection aids topology debugging,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-B15B93E3-672A-4171-86FB-5497C5D048C6.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-P3-014,Modeling,Select,QA Select,Missing Property,Button,,,User selects missing property,Entities missing required properties are selected,Missing property selector is quality-check accelerator,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-B15B93E3-672A-4171-86FB-5497C5D048C6.html,High,apps/web/src/components/results/ResultsHub.tsx,
STAAD-P3-015,Modeling,Select,Selection Modes,Drag Box,Toggle,,,User sets drag box mode,Rectangle drag selection mode activated,Drag mode changes geometric pick behavior,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-B15B93E3-672A-4171-86FB-5497C5D048C6.html,High,apps/web/src/components/ViewportManager.tsx,
STAAD-P3-016,Modeling,Specification,Sections,Standard Section Gallery,Dropdown,,,User opens standard section gallery,Country and material section lists appear,Section databases are grouped by standard table sets,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-CAD3706F-E66D-45B7-B7C7-6DD9A3A6E365.html,High,apps/web/src/components/steel-design/,
STAAD-P3-017,Modeling,Specification,Sections,Prismatic,Button,Prismatic dialog,,User opens prismatic section tool,Prismatic section dialog opens,Prismatic supports circular rectangular tee trapezoidal and general sections,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-CAD3706F-E66D-45B7-B7C7-6DD9A3A6E365.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,
STAAD-P3-018,Modeling,Specification,Sections,Tapered,Button,Property Tapered I dialog,,User opens tapered section tool,Tapered I dialog opens,Member depth-varying I section is configured here,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-CAD3706F-E66D-45B7-B7C7-6DD9A3A6E365.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,
STAAD-P3-019,Modeling,Specification,Constants,Youngs Modulus,MenuItem,Material Constant dialog,,User assigns elasticity constant,Elastic modulus constant assignment dialog opens,Material constants include predefined or custom values,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-CAD3706F-E66D-45B7-B7C7-6DD9A3A6E365.html,High,apps/web/src/components/layout/RightPropertiesPanel.tsx,
STAAD-P3-020,Modeling,Specification,Beam Spec,Beta Angle,MenuItem,Beta Angle dialog,,User sets beta angle specification,Beta angle assignment dialog opens,Local axis orientation is member-spec driven,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-CAD3706F-E66D-45B7-B7C7-6DD9A3A6E365.html,High,apps/web/src/components/layout/RightPropertiesPanel.tsx,
STAAD-P3-021,Modeling,Specification,Beam Spec,Release,MenuItem,Member Specification dialog,,User sets release specification,Release and spring options become assignable,Member-end release behavior is explicitly spec-driven,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-CAD3706F-E66D-45B7-B7C7-6DD9A3A6E365.html,High,apps/web/src/components/layout/RightPropertiesPanel.tsx,
STAAD-P3-022,Modeling,Specification,Support Spec,Fixed Support,Button,Create Support dialog,,User creates fixed support,Support tag defined and optionally assigned,Fixed support restrains all six dof,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-CAD3706F-E66D-45B7-B7C7-6DD9A3A6E365.html,High,apps/web/src/components/layout/RightPropertiesPanel.tsx,
STAAD-P3-023,Modeling,Specification,Tools,Section Database,Button,Section Database Manager window,,User launches section database manager,External section manager opens,Section database manager is a dedicated application surface,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-CAD3706F-E66D-45B7-B7C7-6DD9A3A6E365.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,
STAAD-P3-024,Loading,Loading,Case Lifecycle,Primary Load Cases,Button,Create Primary Load Case dialog,,User creates primary load case,New primary case entry added,Primary case creation is first-class command in loading ribbon,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_LOADING_RIBBON_TAB.html,High,apps/web/src/components/LoadDialog.tsx,
STAAD-P3-025,Loading,Loading,Case Lifecycle,Combination Load Case,Button,Define Load Combinations dialog,,User defines combination case,Result-combination case added,Combination load case combines analyzed results not fresh analysis,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_LOADING_RIBBON_TAB.html,High,apps/web/src/utils/LoadComboService.ts,
STAAD-P3-026,Loading,Loading,Generators,Vehicle Load Generator,Button,Load Generation dialog,,User opens vehicle load generator,Vehicle-based primary case generation flow opens,Moving-load style generation is wizard-driven,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_LOADING_RIBBON_TAB.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,
STAAD-P3-027,Loading,Loading,Generators,Wind Load Generator IS875,MenuItem,Wind Load Generation dialog,,User selects IS875 wind generator,Code-specific wind generation dialog opens,Wind generation has per-code entry path in ribbon,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_LOADING_RIBBON_TAB.html,High,apps/web/src/components/IS875LoadDialog.tsx,
STAAD-P3-028,Loading,Loading,Generators,Mass Model Generator,Button,Create Mass Model dialog,,User runs mass model generator,Mass model built from selected load cases,Mass model creation supports dynamic workflows,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_LOADING_RIBBON_TAB.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,
STAAD-P3-029,Loading,Loading,Definitions,Seismic Definition,MenuItem,Add New Seismic Definitions dialog,,User adds seismic definition,Code parameter dialog opens for static-equivalent setup,Seismic definitions are country-code keyed,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_LOADING_RIBBON_TAB.html,High,apps/web/src/components/SeismicLoadDialog.tsx,
STAAD-P3-030,Loading,Loading,Definitions,Pushover Definition,Button,Add New Pushover dialog,,User adds pushover definition,Pushover parameter dialog opens,Pushover is explicitly represented in loading definitions,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_LOADING_RIBBON_TAB.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,
STAAD-P3-031,Loading,Loading,Time History,Forcing Function,MenuItem,Add New Time History Definitions dialog,,User adds forcing function,Time-varying load definition dialog opens,Time history entries are split by forcing function and parameters,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_LOADING_RIBBON_TAB.html,High,apps/web/src/components/TimeHistoryAnalysisPanel.tsx,
STAAD-P3-032,Loading,Loading,Display,View Loading Diagram,Toggle,,,User toggles view loading diagram,Active load-case display overlay toggles,Loading tab includes direct visual verification toggle,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_LOADING_RIBBON_TAB.html,High,apps/web/src/components/ViewportManager.tsx,
STAAD-P3-033,Analysis,Analysis and Design,Commands,Analysis Commands,Button,Analysis Print Commands dialog,,User opens analysis commands,Analysis command setup dialog opens,Analysis command authoring is explicit pre-run step,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_ANALYSIS_AND_DESIGN_RIBBON_TAB.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,
STAAD-P3-034,Analysis,Analysis and Design,Misc Set,Set Eigen Method,MenuItem,Set Eigen Method dialog,,User sets eigen method,Dynamic mode extraction method changes,Set eigen method controls eigen or Ritz strategy,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_ANALYSIS_AND_DESIGN_RIBBON_TAB.html,High,apps/web/src/components/ModalAnalysisPanel.tsx,
STAAD-P3-035,Analysis,Analysis and Design,Misc Set,Cut Off Mode Shape,MenuItem,Cut Off Mode Shape dialog,,User sets mode cutoff count,Mode extraction upper limit changes,Cutoff commands tune modal response workflows,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_ANALYSIS_AND_DESIGN_RIBBON_TAB.html,High,apps/web/src/components/ModalAnalysisPanel.tsx,
STAAD-P3-036,Analysis,Analysis and Design,Execution,Run Analysis,Button,STAAD Analysis and Design window,Ctrl+F5,User runs analysis,Execution progress window opens and run starts,Run analysis is central execution trigger for solver and batch design,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_ANALYSIS_AND_DESIGN_RIBBON_TAB.html,High,apps/web/src/components/AnalysisProgressModal.tsx,
STAAD-P3-037,Analysis,Analysis and Design,Cloud,Run Cloud Analysis,Button,Run Cloud Analysis dialog,,User chooses cloud analysis,Scenario submission flow starts via connect services,Cloud run requires valid connected account state,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_ANALYSIS_AND_DESIGN_RIBBON_TAB.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,
STAAD-P3-038,Design,Analysis and Design,Design Codes,Steel Design,Button,Steel Design Whole Structure dialog,,User opens steel design,Code selection and parameter assignment dialog opens,Steel design setup is whole-structure dialog driven,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_ANALYSIS_AND_DESIGN_RIBBON_TAB.html,High,apps/web/src/components/steel-design/,
STAAD-P3-039,Design,Analysis and Design,Design Codes,Concrete Design,Button,Concrete Design Whole Structure dialog,,User opens concrete design,Code selection and parameter assignment dialog opens,Concrete design setup mirrors steel setup pattern,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_ANALYSIS_AND_DESIGN_RIBBON_TAB.html,High,apps/web/src/components/rc-design/,
STAAD-P3-040,Results,Results,Primary Diagrams,Deflection,Button,,,User displays deflection,Deflected shape overlay is drawn,Deflection uses nodal displacement visualization,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_RESULTS_RIBBON_TAB.html,High,apps/web/src/components/results/DiagramRenderer.tsx,
STAAD-P3-041,Results,Results,Primary Diagrams,Displacement,Button,,,User displays displacement,Node and beam sectional displacement rendering shown,Displacement view emphasizes sectional accuracy,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_RESULTS_RIBBON_TAB.html,High,apps/web/src/components/results/DiagramRenderer.tsx,
STAAD-P3-042,Results,Results,Primary Diagrams,Utilization Ratio,Button,,,User displays utilization ratio,Annotated pass-fail utilization values appear,Utilization visualization ties to design code checks,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_RESULTS_RIBBON_TAB.html,High,apps/web/src/components/results/ResultsHub.tsx,
STAAD-P3-043,Results,Results,Primary Diagrams,Beam Stress,Button,,,User displays beam stress,Beam stress diagram rendered,Beam stress is available as both direct and layout mode,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_RESULTS_RIBBON_TAB.html,High,apps/web/src/components/results/StressVisualization.tsx,
STAAD-P3-044,Results,Results,Primary Diagrams,Plate Stress,Button,,,User displays plate stress,Plate contour over element mesh rendered,Plate stress opens contour-focused display mode,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_RESULTS_RIBBON_TAB.html,High,apps/web/src/components/results/StressVisualization.tsx,
STAAD-P3-045,Results,Results,Layouts,Reaction Layout,MenuItem,,,User selects reaction layout,Reaction overlay and reaction tables are shown,Layout command mirrors postprocessing reactions page,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_RESULTS_RIBBON_TAB.html,High,apps/web/src/components/results/ResultsHub.tsx,
STAAD-P3-046,Results,Results,Layouts,Beam Forces Layout,MenuItem,,,User selects beam forces layout,Force diagram and beam force tables open,Layout couples graphics with tabular detail view,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_RESULTS_RIBBON_TAB.html,High,apps/web/src/components/results/ResultsHub.tsx,
STAAD-P3-047,Results,Results,Dynamic,Mode Shape,Button,,,User selects mode shape,Selected mode shape diagram rendered,Mode selector drives dynamic result context,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_RESULTS_RIBBON_TAB.html,High,apps/web/src/components/results/InteractiveResultsCharts.tsx,
STAAD-P3-048,Results,Results,Dynamic,Time Steps,Dropdown,,,User scrubs time steps,Time-history step context updates in view,Time-step control supports slider and typed time input,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_RESULTS_RIBBON_TAB.html,High,apps/web/src/components/results/InteractiveResultsCharts.tsx,
STAAD-P3-049,Results,Results,Presentation,Annotate,Button,Annotation dialog,,User opens annotate,Annotation dialog opens and numeric overlays can be configured,Result annotation is explicitly configurable,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_RESULTS_RIBBON_TAB.html,High,apps/web/src/components/results/DiagramRenderer.tsx,
STAAD-P3-050,Results,Results,Model Sync,Update Properties,Button,,,User runs update properties,Input model properties are rewritten from design selections,Workflow auto-switches to analytical modeling for re-analysis compatibility,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_RESULTS_RIBBON_TAB.html,High,apps/web/src/components/results/ResultsHub.tsx,
STAAD-P3-051,Results,Results,Reports,Beam Property Report,MenuItem,Beam Property dialog,,User generates beam property report,Report dialog opens with sorted selected beams,Report generation supports selected-entity scope,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_RESULTS_RIBBON_TAB.html,High,apps/web/src/components/results/ResultsHub.tsx,
STAAD-P3-052,Results,Results,Reports,Column Transfer Force Report,MenuItem,Transfer Forces for Selected Members dialog,,User runs transfer force report,Transfer force dialog opens for selected members,Column transfer report is dedicated report path,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_RESULTS_RIBBON_TAB.html,High,apps/web/src/components/results/ResultsHub.tsx,
STAAD-P3-053,Results,Results,Reports,Floor Vibration Report,MenuItem,Floor Vibration Output dialog,,User opens floor vibration report,Floor vibration output dialog opens,Composite deck floor systems can be reviewed through this report,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_RESULTS_RIBBON_TAB.html,High,apps/web/src/components/results/ResultsHub.tsx,
STAAD-P3-054,Results,Postprocessing Workflow,Workflow Context,Postprocessing Workflow,Workflow,,,User enters postprocessing workflow,Graphics verification and reporting context activated,Workflow combines visualization and custom report generation surfaces,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/POSTPROCESSING_MODE_INDEX.html,High,apps/web/src/components/results/ResultsHub.tsx,
STAAD-P3-055,Results,Postprocessing Workflow,Workflow Pages,Dynamic Results Page Set,PageStrip,,,User navigates postprocessing pages,Dynamic results pages become available,Postprocessing index explicitly includes dynamic result domain,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/POSTPROCESSING_MODE_INDEX.html,High,apps/web/src/components/results/InteractiveResultsCharts.tsx,
STAAD-P3-056,Results,Postprocessing Workflow,Workflow Pages,Reports Page Set,PageStrip,,,User navigates postprocessing pages,Reports generation page surfaces are available,Postprocessing includes integrated report generation path,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/POSTPROCESSING_MODE_INDEX.html,High,apps/web/src/components/results/ResultsHub.tsx,
STAAD-P3-057,Analysis,Analysis and Design,Misc Set,Clear Above Commands,Button,Delete Miscellaneous Commands dialog,,User clears commands,Selected set commands removed from command-file intent,Command cleanup is explicit and selective,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_ANALYSIS_AND_DESIGN_RIBBON_TAB.html,High,apps/web/src/components/modeler/StaadProDialogStubs.tsx,
STAAD-P3-058,Loading,Loading,Auto Combinations,Edit Load Combination Rules,Button,Edit Load Rules dialog,,User edits rules,Auto combination generator rule set is updated,Rule editing governs subsequent auto combo generation,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_LOADING_RIBBON_TAB.html,High,apps/web/src/utils/LoadComboService.ts,
STAAD-P3-059,Modeling,Select,Filtering,Filter Cursor,Button,Selection Filters dialog,,User uses filtered selection cursor,Filtered multi-entity pick mode is applied,Filter parameters must be defined before filtered picking,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/GUID-B15B93E3-672A-4171-86FB-5497C5D048C6.html,High,apps/web/src/components/toolbar/ModelingToolbar.tsx,
STAAD-P3-060,Modeling,View,Window Layout,Structure Only,Button,,,User selects structure only,Cleanup closes dialogs tables and auxiliary views then expands full structure view,Structure-only is a quick workspace reset tool,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_VIEW_RIBBON_TAB.html,High,apps/web/src/components/ViewportManager.tsx,
STAAD-P4-001,UX,Loading,Flow F4-01,Load Definition Lifecycle,Workflow,,,User begins load authoring flow,Transitions from case definition to assignment to visual verification,Load workflow is staged through dialog definition then diagram verification,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_LOADING_RIBBON_TAB.html,High,apps/web/src/components/LoadDialog.tsx,Derived from Phase3 atomic commands
STAAD-P4-002,UX,Loading,Flow F4-01,Primary Case To Load Items,Transition,,,User creates primary case then opens load items,Case context drives subsequent item-entry dialog,Load items are attached within selected load-case context,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_LOADING_RIBBON_TAB.html,High,apps/web/src/components/LoadDialog.tsx,
STAAD-P4-003,UX,Loading,Flow F4-01,Load Diagram Verification Toggle,Transition,,,User toggles View Loading Diagram,Visual feedback confirms assignment target and magnitude context,Diagram overlay acts as immediate QA checkpoint after assignment,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_LOADING_RIBBON_TAB.html,High,apps/web/src/components/ViewportManager.tsx,
STAAD-P4-004,UX,Analysis and Design,Flow F4-02,Run Analysis Handoff,Workflow,STAAD Analysis and Design window,Ctrl+F5,User executes analysis,Progress window appears then results context unlocks after completion,Analysis-to-postprocessing handoff is explicit execution transition,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_ANALYSIS_AND_DESIGN_RIBBON_TAB.html,High,apps/web/src/components/AnalysisProgressModal.tsx,
STAAD-P4-005,UX,Postprocessing Workflow,Flow F4-02,Results Context Activation,Transition,,,User enters postprocessing pages after run,Result page sets become available by context,Postprocessing page availability depends on completed analysis state,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/POSTPROCESSING_MODE_INDEX.html,High,apps/web/src/components/results/ResultsHub.tsx,
STAAD-P4-006,UX,Analysis and Design,Flow F4-02,Recovery Through Command Tuning,Transition,,,User adjusts set/eigen/cutoff commands then reruns,Execution parameters are iterated before stable results,Command tuning is the primary correction loop for analysis issues,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_ANALYSIS_AND_DESIGN_RIBBON_TAB.html,High,apps/web/src/components/ModalAnalysisPanel.tsx,
STAAD-P4-007,UX,Results,Flow F4-03,Result Layout Switching,Workflow,,,User switches results layout,Canvas and tables rebind to selected layout mode,Layouts define synchronized graphics-plus-table views,https://docs.bentley.com/LiveContent/web/STAAD.Pro%20Help-v21/en/STD_RESULTS_RIBBON_TAB.html,High,apps/web/src/components/results/ResultsHub.tsx,
